"Notes","State of Residence","State of Residence Code","Mother's Education","Mother's Education Code",Births
,"Tennessee","47","Bachelor's degree (BA, AB, BS)","6",16136
,"Tennessee","47","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",6790
,"Tennessee","47","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",2174
,"Tennessee","47","Unknown or Not Stated","Unk",314
,"Tennessee","47","Excluded","Exc",0
,"Tennessee","47","Not Reported","NR",0
,"Texas","48","8th grade or less","1",11460
,"Texas","48","9th through 12th grade with no diploma","2",38771
,"Texas","48","High school graduate or GED completed","3",108790
,"Texas","48","Some college credit, but not a degree","4",74910
,"Texas","48","Associate degree (AA, AS)","5",26431
,"Texas","48","Bachelor's degree (BA, AB, BS)","6",74309
,"Texas","48","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",28873
,"Texas","48","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",8373
,"Texas","48","Unknown or Not Stated","Unk",1677
,"Texas","48","Excluded","Exc",0
,"Texas","48","Not Reported","NR",0
,"Utah","49","8th grade or less","1",486
,"Utah","49","9th through 12th grade with no diploma","2",2517
,"Utah","49","High school graduate or GED completed","3",9393
,"Utah","49","Some college credit, but not a degree","4",10740
,"Utah","49","Associate degree (AA, AS)","5",4775
,"Utah","49","Bachelor's degree (BA, AB, BS)","6",13666
,"Utah","49","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",3215
,"Utah","49","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",737
,"Utah","49","Unknown or Not Stated","Unk",1183
,"Utah","49","Excluded","Exc",0
,"Utah","49","Not Reported","NR",0
,"Vermont","50","8th grade or less","1",43
,"Vermont","50","9th through 12th grade with no diploma","2",311
,"Vermont","50","High school graduate or GED completed","3",1115
,"Vermont","50","Some college credit, but not a degree","4",938
,"Vermont","50","Associate degree (AA, AS)","5",400
,"Vermont","50","Bachelor's degree (BA, AB, BS)","6",1497
,"Vermont","50","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",840
,"Vermont","50","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",215
,"Vermont","50","Unknown or Not Stated","Unk",25
,"Vermont","50","Excluded","Exc",0
,"Vermont","50","Not Reported","NR",0
,"Virginia","51","8th grade or less","1",2868
,"Virginia","51","9th through 12th grade with no diploma","2",5453
,"Virginia","51","High school graduate or GED completed","3",24119
,"Virginia","51","Some college credit, but not a degree","4",15192
,"Virginia","51","Associate degree (AA, AS)","5",6959
,"Virginia","51","Bachelor's degree (BA, AB, BS)","6",23324
,"Virginia","51","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",13312
,"Virginia","51","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",3563
,"Virginia","51","Unknown or Not Stated","Unk",1035
,"Virginia","51","Excluded","Exc",0
,"Virginia","51","Not Reported","NR",0
,"Washington","53","8th grade or less","1",1588
,"Washington","53","9th through 12th grade with no diploma","2",5705
,"Washington","53","High school graduate or GED completed","3",17267
,"Washington","53","Some college credit, but not a degree","4",16960
,"Washington","53","Associate degree (AA, AS)","5",8012
,"Washington","53","Bachelor's degree (BA, AB, BS)","6",19063
,"Washington","53","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",9692
,"Washington","53","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",2721
,"Washington","53","Unknown or Not Stated","Unk",2903
,"Washington","53","Excluded","Exc",0
,"Washington","53","Not Reported","NR",0
,"West Virginia","54","8th grade or less","1",170
,"West Virginia","54","9th through 12th grade with no diploma","2",1765
,"West Virginia","54","High school graduate or GED completed","3",5701
,"West Virginia","54","Some college credit, but not a degree","4",3479
,"West Virginia","54","Associate degree (AA, AS)","5",1776
,"West Virginia","54","Bachelor's degree (BA, AB, BS)","6",2588
,"West Virginia","54","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1238
,"West Virginia","54","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",402
,"West Virginia","54","Unknown or Not Stated","Unk",79
,"West Virginia","54","Excluded","Exc",0
,"West Virginia","54","Not Reported","NR",0
,"Wisconsin","55","8th grade or less","1",2315
,"Wisconsin","55","9th through 12th grade with no diploma","2",3449
,"Wisconsin","55","High school graduate or GED completed","3",15075
,"Wisconsin","55","Some college credit, but not a degree","4",10031
,"Wisconsin","55","Associate degree (AA, AS)","5",6739
,"Wisconsin","55","Bachelor's degree (BA, AB, BS)","6",16182
,"Wisconsin","55","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",5667
,"Wisconsin","55","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1891
,"Wisconsin","55","Unknown or Not Stated","Unk",432
,"Wisconsin","55","Excluded","Exc",0
,"Wisconsin","55","Not Reported","NR",0
,"Wyoming","56","8th grade or less","1",69
,"Wyoming","56","9th through 12th grade with no diploma","2",487
,"Wyoming","56","High school graduate or GED completed","3",1483
,"Wyoming","56","Some college credit, but not a degree","4",1491
,"Wyoming","56","Associate degree (AA, AS)","5",760
,"Wyoming","56","Bachelor's degree (BA, AB, BS)","6",1258
,"Wyoming","56","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",471
,"Wyoming","56","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",137
,"Wyoming","56","Unknown or Not Stated","Unk",81
,"Wyoming","56","Excluded","Exc",0
,"Wyoming","56","Not Reported","NR",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2021"
"Group By: State of Residence; Mother's Education"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 16, 2026 2:00:45 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 16, 2026 2:00:45 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
